popup_version|start_date|popup_category	source	views	registration	conversion
"[""A"",""2019-06-20"",""discovery""]"	popup_version|start_date|popup_category	182.0	0.0	0.0
"["""","""",""Book Marketing, Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	35.0	0.0	0.0
"[""B"",""2020-04-07"",""Understanding Publishing""]"	popup_version|start_date|popup_category	287.0	0.0	0.0
"[""A"",""2019-06-17"",""discovery""]"	popup_version|start_date|popup_category	1568.0	0.0	0.0
"[""B"",""2020-04-17"",""""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"[""B"",""2020-02-20"",""Book Marketing, Understanding Publishing""]"	popup_version|start_date|popup_category	77.0	0.0	0.0
"[""B"",""2020-04-24"",""Book Marketing""]"	popup_version|start_date|popup_category	35.0	0.0	0.0
"["""","""",""Book Marketing, From our Authors""]"	popup_version|start_date|popup_category	112.0	0.0	0.0
"[""A"",""2019-05-23"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	56.0	0.0	0.0
"[""A"",""2019-04-25"",""discovery""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"["""","""",""Book Design, Book Marketing""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"["""",""2019-10-22"",""Book Marketing, Understanding Publishing""]"	popup_version|start_date|popup_category	168.0	0.0	0.0
"[""A"",""2019-04-11"",""""]"	popup_version|start_date|popup_category	56.0	0.0	0.0
"[""A"",""2019-04-03"",""Perfecting your Craft, Understanding Publishing""]"	popup_version|start_date|popup_category	105.0	0.0	0.0
"[""B"",""2020-05-04"",""Understanding Publishing""]"	popup_version|start_date|popup_category	56.0	0.0	0.0
"["""",""2019-12-13"",""Understanding Publishing""]"	popup_version|start_date|popup_category	938.0	0.0	0.0
"[""A"",""2019-03-20"",""discovery""]"	popup_version|start_date|popup_category	1841.0	0.0	0.0
"[""B"",""2020-04-20"",""discovery""]"	popup_version|start_date|popup_category	182.0	0.0	0.0
"[""B"",""2020-02-13"",""From our Authors""]"	popup_version|start_date|popup_category	42.0	0.0	0.0
"[""B"",""2020-02-19"",""Understanding Publishing""]"	popup_version|start_date|popup_category	105.0	0.0	0.0
"[""B"","""",""discovery""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"["""","""",""bookly News, Understanding Publishing""]"	popup_version|start_date|popup_category	35.0	0.0	0.0
"[""A"",""2020-05-29"",""Book Marketing""]"	popup_version|start_date|popup_category	56.0	0.0	0.0
"["""","""",""bookly News""]"	popup_version|start_date|popup_category	77.0	0.0	0.0
"[""A"",""2020-06-02"",""Understanding Publishing""]"	popup_version|start_date|popup_category	77.0	0.0	0.0
"[""A"",""2020-03-03"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	1211.0	0.0	0.0
"[""A"",""2020-03-02"",""bookly News""]"	popup_version|start_date|popup_category	1463.0	0.0	0.0
"[""A"",""2020-03-02"",""Understanding Publishing""]"	popup_version|start_date|popup_category	1302.0	0.0	0.0
"[""A"",""2020-03-02"",""Perfecting your Craft""]"	popup_version|start_date|popup_category	903.0	0.0	0.0
"[""A"",""2020-06-10"",""Book Marketing""]"	popup_version|start_date|popup_category	56.0	0.0	0.0
"[""A"",""2020-03-02"",""Book Marketing""]"	popup_version|start_date|popup_category	287.0	0.0	0.0
"[""A"",""2020-06-10"",""Understanding Publishing""]"	popup_version|start_date|popup_category	42.0	0.0	0.0
"[""A"",""2020-06-12"",""""]"	popup_version|start_date|popup_category	21.0	0.0	0.0
"[""A"",""2020-02-29"",""discovery""]"	popup_version|start_date|popup_category	7469.0	0.0	0.0
